experiment,stimulus,response,color,tablerow,key,status,rt,name,gender
test,right_stimulus,left_response,red,2,1,1,701,tingfang,1
test,left_stimulus,left_response,red,1,1,1,758,tingfang,1
test,left_stimulus,right_response,green,4,2,1,560,tingfang,1
test,left_stimulus,left_response,red,1,1,1,516,tingfang,1
test,left_stimulus,right_response,green,4,2,1,594,tingfang,1
test,right_stimulus,right_response,green,3,2,1,494,tingfang,1
test,left_stimulus,right_response,green,4,2,1,510,tingfang,1
test,left_stimulus,left_response,red,1,1,1,528,tingfang,1
test,right_stimulus,left_response,red,2,1,1,517,tingfang,1
test,left_stimulus,right_response,green,4,2,1,573,tingfang,1
test,right_stimulus,right_response,green,3,2,1,553,tingfang,1
test,left_stimulus,right_response,green,4,2,1,629,tingfang,1
test,left_stimulus,left_response,red,1,1,1,695,tingfang,1
test,left_stimulus,left_response,red,1,1,1,610,tingfang,1
test,left_stimulus,right_response,green,4,2,1,505,tingfang,1
test,left_stimulus,left_response,red,1,1,1,474,tingfang,1
test,right_stimulus,left_response,red,2,1,1,592,tingfang,1
test,right_stimulus,left_response,red,2,1,1,471,tingfang,1
test,right_stimulus,left_response,red,2,1,1,430,tingfang,1
test,right_stimulus,left_response,red,2,1,1,435,tingfang,1
test,left_stimulus,left_response,red,1,1,1,608,tingfang,1
test,left_stimulus,left_response,red,1,1,1,427,tingfang,1
test,left_stimulus,left_response,red,1,1,1,415,tingfang,1
test,left_stimulus,left_response,red,1,1,1,452,tingfang,1
test,left_stimulus,right_response,green,4,2,1,509,tingfang,1
test,left_stimulus,left_response,red,1,1,1,698,tingfang,1
test,left_stimulus,left_response,red,1,1,1,793,tingfang,1
test,left_stimulus,right_response,green,4,2,1,595,tingfang,1
test,right_stimulus,left_response,red,2,1,1,1502,tingfang,1
test,left_stimulus,left_response,red,1,1,1,758,tingfang,1
test,left_stimulus,left_response,red,1,1,1,483,tingfang,1
test,left_stimulus,right_response,green,4,2,1,588,tingfang,1
test,left_stimulus,right_response,green,4,2,1,992,tingfang,1
test,left_stimulus,right_response,green,4,2,1,536,tingfang,1
test,left_stimulus,left_response,red,1,1,1,698,tingfang,1
test,right_stimulus,right_response,green,3,2,1,513,tingfang,1
test,right_stimulus,left_response,red,2,1,1,678,tingfang,1
test,right_stimulus,left_response,red,2,1,1,447,tingfang,1
test,right_stimulus,right_response,green,3,2,1,453,tingfang,1
test,left_stimulus,left_response,red,1,1,1,693,tingfang,1
test,right_stimulus,left_response,red,2,1,1,510,Erin,1
test,left_stimulus,left_response,red,1,1,1,540,Erin,1
test,right_stimulus,left_response,red,2,1,1,486,Erin,1
test,left_stimulus,left_response,red,1,1,1,384,Erin,1
test,right_stimulus,right_response,green,3,2,1,409,Erin,1
test,left_stimulus,right_response,green,4,2,1,397,Erin,1
test,left_stimulus,right_response,green,4,2,1,358,Erin,1
test,left_stimulus,left_response,red,1,1,1,384,Erin,1
test,left_stimulus,left_response,red,1,1,1,307,Erin,1
test,left_stimulus,right_response,green,4,2,1,383,Erin,1
test,left_stimulus,left_response,red,1,1,1,402,Erin,1
test,left_stimulus,right_response,green,4,2,1,402,Erin,1
test,right_stimulus,left_response,red,2,1,1,480,Erin,1
test,left_stimulus,right_response,green,4,2,1,331,Erin,1
test,right_stimulus,right_response,green,3,2,1,446,Erin,1
test,left_stimulus,left_response,red,1,1,1,320,Erin,1
test,right_stimulus,left_response,red,2,1,1,557,Erin,1
test,right_stimulus,right_response,green,3,2,1,372,Erin,1
test,right_stimulus,right_response,green,3,2,1,414,Erin,1
test,right_stimulus,left_response,red,2,1,1,416,Erin,1
test,right_stimulus,left_response,red,2,1,1,403,Erin,1
test,right_stimulus,left_response,red,2,1,1,387,Erin,1
test,right_stimulus,left_response,red,2,1,1,392,Erin,1
test,left_stimulus,left_response,red,1,1,1,431,Erin,1
