ama,arm
aya,hey
bananonina,ugly
bapple,apple
bella,pretty
bella,beautiful
bello,hello
bido,sorry
bomba,bomb
chaisy,chair
con,like
con,as 
du,you
dul,two
gelato,ice cream
gli,he
gli,it
hana,one
kanpai,cheers
kaput,broken
la,the
la,a
la,an
la boda,marriage
la piñata,swatter
bi do,okay
le,you
matoka, hungry
me,me
amo,love
ti,you
amo,love
dua,do
mi,my
moka,damn
na,one
du,two
throo,three
ooh la la,oh
papagena,sweetheart
papoi,toy
para,for
po ka,what
poopaye,goodbye
nola,really
matoka,hungry
pwede,start?
pwego,fire
sika,look
sopa,shut up
speta,watch
stopa,stop
tank yu,thank you
tatata,hate
badaboom,cannon
