participant,gender:1,nick:1,Experiment:1,TIME_start,TIME_end,TIME_total
s.d7b16013-bd68-49dc-b701-601230d91054.txt,1,Name,arrows.2018-04-05-1711.data.d7b16013-bd68-49dc-b701-601230d91054.txt,2018-04-05-17-09,2018-04-05-17-11,2,
s.1a284477-b47a-49cf-a8c2-72a40c22066e.txt,1,2.0,arrows.2018-04-05-1710.data.1a284477-b47a-49cf-a8c2-72a40c22066e.txt,2018-04-05-17-09,2018-04-05-17-10,1,
s.5b8571e9-5758-4517-b00b-63370f2ea43f.txt,1,AM,arrows.2018-04-05-1715.data.5b8571e9-5758-4517-b00b-63370f2ea43f.txt,2018-04-05-17-13,2018-04-05-17-15,2,
s.bcfb40ef-ba76-47fb-9bbd-0e2d0750dc96.txt,2,Daniel,arrows.2018-04-05-1707.data.bcfb40ef-ba76-47fb-9bbd-0e2d0750dc96.txt,2018-04-05-17-02,2018-04-05-17-07,5,
s.e7cad0f1-38a8-4acc-b6ec-73944561e5b2.txt,1,Nicholas,arrows.2018-04-05-1715.data.e7cad0f1-38a8-4acc-b6ec-73944561e5b2.txt,2018-04-05-17-14,2018-04-05-17-15,1,
s.b8b67887-b433-4704-aafd-06890ae0ca54.txt,1,kail,arrows.2018-04-05-1712.data.b8b67887-b433-4704-aafd-06890ae0ca54.txt,2018-04-05-17-10,2018-04-05-17-12,2,
s.be4194f7-0861-4a2c-95d0-1d9167e0b28e.txt,2,Collin Fields,arrows.2018-04-05-1711.data.be4194f7-0861-4a2c-95d0-1d9167e0b28e.txt,2018-04-05-17-09,2018-04-05-17-11,2,
s.7c831210-97e8-43f7-94a1-bff21e4bb75b.txt,2,dieter,arrows.2018-04-05-1705.data.7c831210-97e8-43f7-94a1-bff21e4bb75b.txt,2018-04-05-17-02,2018-04-05-17-05,3,
s.27051d65-30e8-40db-9b94-aef29be41f00.txt,2,Daniel,arrows.2018-04-05-1710.data.27051d65-30e8-40db-9b94-aef29be41f00.txt,2018-04-05-17-09,2018-04-05-17-10,1,
s.5327d036-88a8-433c-9c02-2704d29c5bd4.txt,1,Kailey,arrows.2018-04-05-1707.data.5327d036-88a8-433c-9c02-2704d29c5bd4.txt,2018-04-05-17-02,2018-04-05-17-07,5,
s.76f4d088-08f1-4ecb-98a7-356d9bf8b611.txt,1,Hope,arrows.2018-04-05-1704.data.76f4d088-08f1-4ecb-98a7-356d9bf8b611.txt,2018-04-05-17-02,2018-04-05-17-04,2,
s.322b71ba-d8fb-49b6-99f2-10d191748ec2.txt,1,Nick,arrows.2018-04-05-1712.data.322b71ba-d8fb-49b6-99f2-10d191748ec2.txt,2018-04-05-17-11,2018-04-05-17-12,1,
