participant,gender,nick,Experiment,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.d7b16013-bd68-49dc-b701-601230d91054.txt,2601,39800,"",1120,2018-04-05-17-09,2018-04-05-17-11,2
s.1a284477-b47a-49cf-a8c2-72a40c22066e.txt,2483,8089,"",1232,2018-04-05-17-09,2018-04-05-17-10,1
s.5b8571e9-5758-4517-b00b-63370f2ea43f.txt,3267,6532,"",94312,2018-04-05-17-13,2018-04-05-17-15,2
s.bcfb40ef-ba76-47fb-9bbd-0e2d0750dc96.txt,6414,11336,"",137528,2018-04-05-17-02,2018-04-05-17-07,5
s.e7cad0f1-38a8-4acc-b6ec-73944561e5b2.txt,2180,18522,"",2362,2018-04-05-17-14,2018-04-05-17-15,1
s.b8b67887-b433-4704-aafd-06890ae0ca54.txt,2673,11413,"",1253,2018-04-05-17-10,2018-04-05-17-12,2
s.be4194f7-0861-4a2c-95d0-1d9167e0b28e.txt,2818,17936,"",3476,2018-04-05-17-09,2018-04-05-17-11,2
s.7c831210-97e8-43f7-94a1-bff21e4bb75b.txt,4370,7242,"",3736,2018-04-05-17-02,2018-04-05-17-05,3
s.27051d65-30e8-40db-9b94-aef29be41f00.txt,2814,4852,"",1468,2018-04-05-17-09,2018-04-05-17-10,1
s.5327d036-88a8-433c-9c02-2704d29c5bd4.txt,2718,9970,"",124842,2018-04-05-17-02,2018-04-05-17-07,5
s.76f4d088-08f1-4ecb-98a7-356d9bf8b611.txt,3175,8360,"",155020,2018-04-05-17-02,2018-04-05-17-04,2
s.322b71ba-d8fb-49b6-99f2-10d191748ec2.txt,2636,3881,"",1162,2018-04-05-17-11,2018-04-05-17-12,1
