INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,
5570,09/12/2010 02:29:00 AM,2010-148075,LCP100912000197,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,18XX DANA AV,39.1457628095309,-84.4663266009389,FEMALE,BLACK,ADULT,MALE,WHITE,EVANSTON,EVANSTON,EVANSTON,
3280,07/06/2006 03:38:00 AM,2007-100708,P071870245,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX GEST ST,39.1086949420422,-84.5526801254931,MALE,WHITE,ADULT,MALE,WHITE,LOWER PRICE HILL,LOWER PRICE  HILL,LOWER PRICE HILL,
689,08/15/2004 03:35:00 PM,2005-61234,,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX MAIN ST,39.0965634126616,-84.5074654905929,MALE,WHITE,JUVENILE,MALE,BLACK,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN,
3664,12/28/2007 09:24:00 PM,2007-107920,LCP071228001499,DISTRICT 3,9826,INJURY TO PRISONER,7XX PURCELL AV,39.1057947540101,-84.5643695147529,MALE,WHITE,ADULT,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL,
9301,02/11/2018 12:35:00 AM,2018-234394,LCP180211000034,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E LIBERTY,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A,
9301,02/11/2018 12:35:00 AM,2018-234394,LCP180211000034,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E LIBERTY,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A,
9301,02/11/2018 12:35:00 AM,2018-234394,LCP180211000034,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E LIBERTY,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A,
-8038,07/21/2004 04:04:00 AM,20040540,P042030280,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,25XX HIGHLAND AV,39.1280886759432,-84.5030972744244,FEMALE,BLACK,UNKNOWN,MALE,BLACK,CORRYVILLE,CORRYVILLE,MOUNT AUBURN,
-3592,03/27/2000 09:00:00 PM,20000281,P000871366,DISTRICT 2,9826,INJURY TO PRISONER,35XX EDWARDS,,,FEMALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-3592,03/27/2000 09:00:00 PM,20000281,P000871366,DISTRICT 2,9826,INJURY TO PRISONER,35XX EDWARDS,,,FEMALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-3755,05/27/2000 05:05:00 AM,20000448,P001480384,DISTRICT 4,9825,CHEMICAL IRRITANT,2XX HEARNE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
5356,06/16/2010 07:17:00 PM,2010-144836,LCP100616001440,DISTRICT 3,9826,INJURY TO PRISONER,61XX GLENWAY AV,39.1429242116005,-84.6231283097123,MALE,WHITE,ADULT,MALE,BLACK,WESTWOOD,WESTWOOD,WESTWOOD,
