DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
4,7XX RIDGEWAY AV,39.1380309313617,-84.4940399985923,AVONDALE,AVONDALE,55,40801837,1,,BLACK,MALE,14,NONFATAL,03/23/2008 12:00:00 AM,MAR,,N/A,SUN,40801837,03/23/2008 12:00:00 AM,DISTRICT 4,45229,AVONDALE
2,32XX WOODBURN AV,39.1357182141161,-84.475110132248,EVANSTON,EVANSTON,"4,587",199007277,1,,BLACK,MALE,17,NONFATAL,04/11/2019 12:00:00 AM,APR,173100,17,THU,199007277,04/11/2019 05:31:00 PM,DISTRICT 2,,EVANSTON
1,7XX ELIZABETH ST,39.1072019457452,-84.5265050566206,WEST END,WEST END,476,10900805,1,,BLACK,MALE,36,NONFATAL,03/03/2009 12:00:00 AM,MAR,,N/A,TUE,10900805,03/03/2009 12:00:00 AM,DISTRICT 1,45203,WEST END
3,12XX SUNSET AV,39.1148888441418,-84.5849914568499,WEST PRICE HILL,WEST PRICE HILL,"4,235",189007663,1,,HISPANIC,MALE,21,NONFATAL,03/24/2018 12:00:00 AM,MAR,235000,23,SAT,189007663,03/24/2018 11:50:00 PM,DISTRICT 3,,WEST PRICE HILL
3,25XX RING PL,39.1119967516185,-84.5592133969998,EAST PRICE HILL,EAST PRICE HILL,"3,783",179000836,1,,WHITE,MALE,33,NONFATAL,01/10/2017 12:00:00 AM,JAN,140000,14,TUE,179000836,01/10/2017 02:00:00 PM,DISTRICT 3,,EAST PRICE HILL
4,X ST JOE ST,39.12054658469,-84.516017933461,MT AUBURN,MT. AUBURN,"4,350",189018057,1,,BLACK,MALE,23,NONFATAL,07/06/2018 12:00:00 AM,JUL,00000000000000.000,0,FRI,189018057,07/06/2018 12:00:00 AM,DISTRICT 4,,MOUNT AUBURN
4,29XX GILBERT AV,39.1317622879569,-84.4880638272425,WALNUT HILLS,WALNUT HILLS,"4,037",179033450,1,,BLACK,MALE,32,NONFATAL,08/19/2017 12:00:00 AM,AUG,121500,12,SAT,179033450,08/19/2017 12:15:00 PM,DISTRICT 4,,WALNUT HILLS
4,31XX READING RD,39.1361373771481,-84.4970544111457,AVONDALE,AVONDALE,"1,912",129021925,4,"CINC, OH 45219",BLACK,FEMALE,41,NONFATAL,08/04/2012 12:00:00 AM,AUG,023800,2,SAT,129021925,08/04/2012 02:38:00 AM,DISTRICT 4,45229,AVONDALE
5,6XX DUTCH COLONY DR,39.190394940863,-84.5121228007967,WINTON HILLS,WINTON HILLS,"1,711",129001453,1,"CINC, OH 45223",BLACK,FEMALE,9,NONFATAL,01/14/2012 12:00:00 AM,JAN,044000,4,SAT,129001453,01/14/2012 04:40:00 AM,DISTRICT 5,45232,WINTON HILLS
4,15XX YARMOUTH AV,39.1738248023556,-84.4721907054706,BOND HILL,BOND HILL,"1,645",41107279,1,"CINC, OH 45237",BLACK,MALE,25,NONFATAL,11/12/2011 12:00:00 AM,NOV,000100,0,SAT,41107279,11/12/2011 12:01:00 AM,DISTRICT 4,45237,BOND HILL
1,1XX HENRY ST,39.1185553945704,-84.5204484872778,OVER-THE-RHINE,OVER-THE-RHINE,"1,826",129012822,1,"CINC, OH 45202",BLACK,MALE,42,NONFATAL,05/16/2012 12:00:00 AM,MAY,003500,0,WED,129012822,05/16/2012 12:35:00 AM,DISTRICT 1,45202,OTR
3,9XX ELBERON AV,39.1078062334834,-84.5648165177627,EAST PRICE HILL,EAST PRICE HILL,"4,237",189007866,1,,BLACK,MALE,37,NONFATAL,03/26/2018 12:00:00 AM,MAR,231500,23,MON,189007866,03/26/2018 11:15:00 PM,DISTRICT 3,,EAST PRICE HILL
1,12XX MAIN ST,39.1099111317248,-84.5118109312447,OVER-THE-RHINE,OVER-THE-RHINE,"3,763",169033763,1,,BLACK,MALE,28,FATAL,12/26/2016 12:00:00 AM,DEC,023400,2,MON,169033763,12/26/2016 02:34:00 AM,DISTRICT 1,,OTR
1,16XX VINE ST,39.1153355482677,-84.5161692856985,OVER-THE-RHINE,OVER-THE-RHINE,"3,115",159018317,1,"CINCINNATI, OH 45202",BLACK,MALE,42,NONFATAL,07/14/2015 12:00:00 AM,JUL,225300,22,TUE,159018317,07/14/2015 10:53:00 PM,DISTRICT 1,45202,OTR
3,19XX WESTWOOD NORTHERN BV,39.1437368162192,-84.5594624685846,ENGLISH WOODS,ENGLISH WOODS,"3,402",169005254,1,"CINCINNATI, OH 45225",BLACK,FEMALE,20,NONFATAL,03/07/2016 12:00:00 AM,MAR,160000,16,MON,169005254,03/07/2016 04:00:00 PM,DISTRICT 3,,ENGLISH WOODS
1,19XX VINE ST,39.1179763379114,-84.5175729707908,OVER-THE-RHINE,OVER-THE-RHINE,791,10905612,2,,BLACK,MALE,18,NONFATAL,11/28/2009 12:00:00 AM,NOV,,N/A,SAT,10905612,11/28/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,77XX READING RD,39.2033918259345,-84.4560904305966,ROSELAWN,ROSELAWN,"2,239",139013981,2,"CINC, OH 45237",BLACK,MALE,52,NONFATAL,06/04/2013 12:00:00 AM,JUN,204500,20,TUE,139013981,06/04/2013 08:45:00 PM,DISTRICT 4,45237,ROSELAWN
4,6XX ROCKDALE AV,39.1444110029055,-84.4944166800361,AVONDALE,AVONDALE,"3,539",169016320,1,"CINCINNATI, OHIO 4522",BLACK,MALE,24,NONFATAL,07/03/2016 12:00:00 AM,JUL,234000,23,SUN,169016320,07/03/2016 11:40:00 PM,DISTRICT 4,,AVONDALE
1,12XX RACE ST,39.1080173780954,-84.515633403934,OVER-THE-RHINE,OVER-THE-RHINE,"1,574",11103803,1,"CINC, OH 45202",WHITE,MALE,29,NONFATAL,09/15/2011 12:00:00 AM,SEP,191500,19,THU,11103803,09/15/2011 07:15:00 PM,DISTRICT 1,45202,OTR
3,25XX HARRISON AV,39.1414535672084,-84.5829613133755,WESTWOOD,WESTWOOD,"4,556",199004125,1,,BLACK,MALE,32,FATAL,02/27/2019 12:00:00 AM,FEB,195200,19,WED,199004125,02/27/2019 07:52:00 PM,DISTRICT 3,,WESTWOOD
1,19XX RACE ST,39.1166001909449,-84.5194239148811,OVER-THE-RHINE,OVER-THE-RHINE,"1,817",129012187,1,"CINC, OH 45202",BLACK,FEMALE,38,NONFATAL,05/09/2012 12:00:00 AM,MAY,162000,16,WED,129012187,05/09/2012 04:20:00 PM,DISTRICT 1,45202,OTR
5,5XX DUTCH COLONY DR,39.1880796554265,-84.5107170876789,WINTON HILLS,WINTON HILLS,"2,805",149027823,2,"CINC, OH 45202",BLACK,MALE,21,NONFATAL,10/30/2014 12:00:00 AM,OCT,153000,15,THU,149027823,10/30/2014 03:30:00 PM,DISTRICT 5,45232,WINTON HILLS
3,28XX HARRISON AV,39.1451605939045,-84.5937796167787,WESTWOOD,WESTWOOD,"1,845",129015459,1,"CINCINNATI, OH 45211",BLACK,MALE,30,NONFATAL,06/09/2012 12:00:00 AM,JUN,142300,14,SAT,129015459,06/09/2012 02:23:00 PM,DISTRICT 3,45211,WESTWOOD
